Timestamp,Elapsed_Time_s,CAN_Message
2025-11-08T15:52:40.078814,2.679,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.143034,2.743,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.143527,2.743,can0  206  [16]  9B 0C D1 05 8B 0C A0 E2 F1 05 B7 0C A3 0C 00 00
2025-11-08T15:52:40.193027,2.793,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.201746,2.802,can0  041  [04]  8B 00 02 00
2025-11-08T15:52:40.250194,2.850,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.301328,2.901,can0  206  [16]  9F 0C D5 05 93 0C 3A DF E4 05 B7 0C 9B 0C 00 00
2025-11-08T15:52:40.307671,2.908,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.365557,2.965,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.423401,3.023,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.468239,3.068,can0  041  [04]  8B 00 02 00
2025-11-08T15:52:40.468419,3.068,can0  206  [16]  AB 0C D5 05 87 0C A0 E2 E2 05 BB 0C 97 0C 00 00
2025-11-08T15:52:40.480452,3.080,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.538177,3.138,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.596026,3.196,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.632971,3.233,can0  206  [16]  BF 0C DE 05 83 0C B1 E0 E9 05 BB 0C 87 0C 00 00
2025-11-08T15:52:40.654162,3.254,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.723959,3.324,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.732032,3.332,can0  041  [04]  7A 00 02 00
2025-11-08T15:52:40.776653,3.376,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.800524,3.400,can0  206  [16]  97 0C CA 05 97 0C DA DC E6 05 C3 0C A3 0C 00 00
2025-11-08T15:52:40.826255,3.426,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
2025-11-08T15:52:40.883635,3.483,can0  204  [16]  28 23 43 36 D9 BF 11 7A 28 23 30 75 30 75 00 00
