Timestamp,Elapsed_Time_s,CAN_Message
2026-07-11T15:00:17.955855,2.851,can0  060  [32]  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:17.955965,2.851,can0  060  [32]  00 00 00 00 C0 2C 4D 08 E9 03 B8 10 00 00 10 0E FF 01 00 00 00 00 00 00 01 00 00 00 00 00 00 00
2026-07-11T15:00:17.956275,2.851,can0  100  [03]  C8 8B 04
2026-07-11T15:00:17.956368,2.851,can0  120  [04]  00 00 00 00
2026-07-11T15:00:18.055604,2.951,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.057564,2.953,can0  206  [24]  C1 0C DA 08 C6 0C 99 C6 E9 09 C0 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:18.057698,2.953,can0  041  [04]  A7 00 08 00
2026-07-11T15:00:18.159717,3.055,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.159853,3.055,can0  040  [04]  C3 00 05 00
2026-07-11T15:00:18.159962,3.055,can0  040  [04]  C3 00 05 00
2026-07-11T15:00:18.255151,3.150,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.257449,3.153,can0  206  [24]  C1 0C D9 08 C6 0C 99 C6 EA 09 C0 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:18.258959,3.154,can0  070  [20]  C0 2C 4D 08 95 AE 62 03 38 4A 00 00 00 16 00 00 1C 00 00 00
2026-07-11T15:00:18.354781,3.250,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.356840,3.252,can0  041  [04]  AD 00 07 00
2026-07-11T15:00:18.356897,3.252,can0  040  [04]  C3 00 05 00
2026-07-11T15:00:18.356933,3.252,can0  206  [24]  C1 0C D9 08 CB 0C 99 C6 EB 09 BB 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:18.455104,3.350,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.455306,3.350,can0  070  [20]  C0 2C 4D 08 95 AE 62 03 38 4A 00 00 00 16 00 00 1C 00 00 00
2026-07-11T15:00:18.455502,3.351,can0  040  [04]  C3 00 05 00
2026-07-11T15:00:18.455657,3.351,can0  060  [32]  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:18.555222,3.450,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.556979,3.452,can0  206  [24]  C1 0C D9 08 C6 0C 99 C6 EC 09 C5 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:18.557231,3.452,can0  041  [04]  9A 00 08 00
2026-07-11T15:00:18.655489,3.551,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.655645,3.551,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 20 4E 00 00 00 16 00 00 1F 00 00 00
2026-07-11T15:00:18.655785,3.551,can0  040  [04]  D3 00 07 00
2026-07-11T15:00:18.655915,3.551,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 20 4E 00 00 00 16 00 00 20 00 00 00
2026-07-11T15:00:18.755128,3.650,can0  040  [04]  D3 00 07 00
2026-07-11T15:00:18.755302,3.650,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.756904,3.652,can0  206  [24]  C6 0C D9 08 C6 0C 99 C6 ED 09 CB 0C C6 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:18.757099,3.652,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 20 4E 00 00 00 16 00 00 20 00 00 00
2026-07-11T15:00:18.760098,3.655,can0  110  [02]  39 1B
2026-07-11T15:00:18.855112,3.750,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.855276,3.750,can0  041  [04]  9A 00 08 00
2026-07-11T15:00:18.856893,3.752,can0  206  [24]  C6 0C D9 08 C1 0C 99 C6 ED 09 D0 0C C6 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:18.955321,3.850,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:18.955475,3.851,can0  040  [04]  C6 00 08 00
2026-07-11T15:00:18.955595,3.851,can0  040  [04]  C6 00 08 00
2026-07-11T15:00:18.955710,3.851,can0  060  [32]  00 00 00 00 BF 2C 4D 08 E8 03 B8 10 00 00 10 0E FF 01 00 00 00 00 00 00 01 00 00 00 00 00 00 00
2026-07-11T15:00:19.055414,3.951,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.057116,3.952,can0  206  [24]  C6 0C D9 08 BC 0C 99 C6 EC 09 D5 0C C6 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:19.155518,4.051,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.155731,4.051,can0  041  [04]  9A 00 08 00
2026-07-11T15:00:19.155871,4.051,can0  040  [04]  CB 00 07 00
2026-07-11T15:00:19.155992,4.051,can0  100  [03]  C4 8B 04
2026-07-11T15:00:19.159419,4.055,can0  120  [04]  00 00 00 00
2026-07-11T15:00:19.257108,4.152,can0  206  [24]  CB 0C D8 08 B7 0C 99 C6 EB 09 D5 0C C6 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:19.257331,4.152,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.257503,4.153,can0  040  [04]  CB 00 07 00
2026-07-11T15:00:19.257876,4.153,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 20 4E 00 00 00 16 00 00 20 00 00 00
2026-07-11T15:00:19.355455,4.251,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.357719,4.253,can0  206  [24]  C6 0C D8 08 BC 0C 99 C6 EA 09 CF 0C C6 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:19.357902,4.253,can0  041  [04]  9F 00 02 00
2026-07-11T15:00:19.358163,4.253,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 20 4E 00 00 00 16 00 00 20 00 00 00
2026-07-11T15:00:19.455702,4.351,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.456031,4.351,can0  040  [04]  BF 00 06 00
2026-07-11T15:00:19.555266,4.450,can0  040  [04]  BF 00 06 00
2026-07-11T15:00:19.555476,4.451,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.557066,4.452,can0  206  [24]  C6 0C D7 08 B7 0C 99 C6 EA 09 CF 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:19.655426,4.551,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.655688,4.551,can0  041  [04]  B5 00 00 00
2026-07-11T15:00:19.655876,4.551,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 08 52 00 00 00 16 00 00 09 00 00 00
2026-07-11T15:00:19.755201,4.650,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 08 52 00 00 00 16 00 00 0A 00 00 00
2026-07-11T15:00:19.755411,4.651,can0  040  [04]  C3 00 05 00
2026-07-11T15:00:19.757091,4.652,can0  206  [24]  C1 0C D6 08 C1 0C 99 C6 EA 09 CA 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:19.757316,4.652,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.757557,4.653,can0  040  [04]  C3 00 05 00
2026-07-11T15:00:19.757737,4.653,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 08 52 00 00 00 16 00 00 0A 00 00 00
2026-07-11T15:00:19.855242,4.750,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.856881,4.752,can0  206  [24]  BB 0C D6 08 C1 0C 99 C6 E9 09 CA 0C D0 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:19.857125,4.752,can0  132  [00]
2026-07-11T15:00:19.956070,4.851,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:19.956329,4.851,can0  041  [04]  3F 01 02 00
2026-07-11T15:00:19.956454,4.852,can0  060  [32]  46 75 D6 02 6B 30 4D 08 F0 17 B8 10 01 00 10 0E 25 01 00 00 00 00 00 00 02 00 00 00 00 00 00 00
2026-07-11T15:00:19.956580,4.852,can0  060  [32]  00 00 00 00 BF 2C 4D 08 E8 03 B8 10 00 00 10 0E FF 01 00 00 00 00 00 01 02 00 00 00 00 00 00 00
2026-07-11T15:00:19.956905,4.852,can0  040  [04]  B3 00 02 00
2026-07-11T15:00:20.055027,4.950,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.055215,4.950,can0  040  [04]  B3 00 02 00
2026-07-11T15:00:20.056864,4.952,can0  206  [24]  BB 0C D7 08 C1 0C 99 C6 E8 09 CA 0C D0 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:20.155579,5.051,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.155839,5.051,can0  041  [04]  3F 01 00 00
2026-07-11T15:00:20.257543,5.153,can0  206  [24]  BB 0C D7 08 C6 0C 99 C6 E8 09 C5 0C D0 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:20.257778,5.153,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.257954,5.153,can0  040  [04]  B3 00 05 00
2026-07-11T15:00:20.258137,5.153,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 08 52 00 00 00 16 00 00 0A 00 00 00
2026-07-11T15:00:20.258279,5.153,can0  040  [04]  B3 00 05 00
2026-07-11T15:00:20.355126,5.250,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.356200,5.251,can0  206  [24]  BB 0C D6 08 CB 0C 99 C6 EA 09 C0 0C D0 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:20.357707,5.253,can0  100  [03]  C4 8B 04
2026-07-11T15:00:20.357848,5.253,can0  110  [02]  38 1B
2026-07-11T15:00:20.357994,5.253,can0  120  [04]  00 00 00 00
2026-07-11T15:00:20.455486,5.351,can0  070  [20]  BF 2C 4D 08 93 AE 62 03 08 52 00 00 00 16 00 00 0A 00 00 00
2026-07-11T15:00:20.455683,5.351,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.455838,5.351,can0  041  [04]  10 01 00 00
2026-07-11T15:00:20.455983,5.351,can0  060  [32]  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:20.554804,5.450,can0  040  [04]  A5 00 06 00
2026-07-11T15:00:20.555004,5.450,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.556627,5.452,can0  206  [24]  BB 0C D8 08 CB 0C 99 C6 E9 09 BB 0C D0 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:20.556839,5.452,can0  040  [04]  A5 00 06 00
2026-07-11T15:00:20.655626,5.551,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.656092,5.551,can0  070  [20]  BD 2C 4D 08 93 AE 62 03 F0 55 00 00 00 16 00 00 25 00 00 00
2026-07-11T15:00:20.656133,5.551,can0  070  [20]  BD 2C 4D 08 93 AE 62 03 F0 55 00 00 00 16 00 00 24 00 00 00
2026-07-11T15:00:20.757539,5.653,can0  206  [24]  C6 0C D8 08 C1 0C 99 C6 E9 09 C5 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:20.757683,5.653,can0  041  [04]  3F 01 00 00
2026-07-11T15:00:20.757833,5.653,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.757959,5.653,can0  070  [20]  BD 2C 4D 08 93 AE 62 03 F0 55 00 00 00 16 00 00 24 00 00 00
2026-07-11T15:00:20.758078,5.653,can0  040  [04]  A8 00 07 00
2026-07-11T15:00:20.855459,5.751,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.855597,5.751,can0  040  [04]  A8 00 07 00
2026-07-11T15:00:20.857419,5.753,can0  206  [24]  C6 0C D8 08 BC 0C 99 C6 E9 09 CA 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:20.954893,5.850,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:20.955029,5.850,can0  041  [04]  10 01 00 00
2026-07-11T15:00:21.055492,5.951,can0  060  [32]  00 00 00 00 BD 2C 4D 08 E8 03 B8 10 00 00 10 0E FF 01 00 00 00 00 00 00 01 00 00 00 00 00 00 00
2026-07-11T15:00:21.055841,5.951,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:21.057528,5.953,can0  206  [24]  CB 0C D8 08 BC 0C 99 C6 E9 09 CA 0C C6 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:21.057717,5.953,can0  040  [04]  99 00 08 00
2026-07-11T15:00:21.057876,5.953,can0  040  [04]  99 00 08 00
2026-07-11T15:00:21.155958,6.051,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:21.157714,6.053,can0  206  [24]  C6 0C D8 08 BC 0C 99 C6 E7 09 CA 0C CA 0C 00 00 00 00 00 00 00 00 00 00
2026-07-11T15:00:21.255515,6.151,can0  204  [16]  E1 22 00 00 00 00 00 00 28 23 30 75 30 75 00 00
2026-07-11T15:00:21.255733,6.151,can0  041  [04]  10 01 02 00
2026-07-11T15:00:21.255926,6.151,can0  070  [20]  BD 2C 4D 08 93 AE 62 03 F0 55 00 00 00 16 00 00 24 00 00 00
2026-07-11T15:00:21.355786,6.251,can0  040  [04]  8B 00 0A 00
