Timestamp,Elapsed_Time_s,CAN_Message
2026-06-06T16:55:36.317969,2.853,can0  204  [16]  6E 23 15 45 DC 26 05 09 28 23 30 75 30 75 00 00
2026-06-06T16:55:36.318097,2.853,can0  214  [64]  05 09 00 00 8C E0 FF FF C5 FE FF FF E6 0F 00 00 20 D6 5E 1D 80 01 91 B6 FE 02 00 00 19 00 00 00 AA 05 00 00 F9 01 00 00 F9 01 00 00 03 0A 00 00 02 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-06T16:55:36.318218,2.853,can0  132  [00]
2026-06-06T16:55:36.320256,2.855,can0  206  [24]  71 0C 8B 06 57 0C 99 C6 87 07 62 0C 99 0C 00 00 00 00 00 00 00 00 00 00
2026-06-06T16:55:36.387887,2.923,can0  204  [16]  6E 23 15 45 DC 26 05 09 28 23 30 75 30 75 00 00
2026-06-06T16:55:36.388280,2.923,can0  214  [64]  05 09 00 00 8C E0 FF FF C5 FE FF FF E6 0F 00 00 20 D6 5E 1D 80 01 91 B6 02 03 00 00 1C 00 00 00 AA 05 00 00 F9 01 00 00 F9 01 00 00 03 0A 00 00 02 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-06T16:55:36.388379,2.923,can0  040  [04]  AC 00 0A 00
2026-06-06T16:55:36.388445,2.923,can0  204  [16]  6E 23 15 45 E3 26 58 09 28 23 30 75 30 75 00 00
2026-06-06T16:55:36.388508,2.924,can0  214  [64]  58 09 00 00 93 E0 FF FF C5 FE FF FF F0 0F 00 00 20 D6 5E 1D 80 01 91 B6 02 03 00 00 1C 00 00 00 AA 05 00 00 FA 01 00 00 FA 01 00 00 FF 09 00 00 02 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-06T16:55:36.518275,3.053,can0  206  [24]  6B 0C 8A 06 5D 0C 99 C6 88 07 62 0C 9E 0C 00 00 00 00 00 00 00 00 00 00
2026-06-06T16:55:36.521907,3.057,can0  204  [16]  6E 23 14 45 DF 26 B6 09 28 23 30 75 30 75 00 00
2026-06-06T16:55:36.521955,3.057,can0  214  [64]  B6 09 00 00 90 E0 FF FF C4 FE FF FF 04 10 00 00 20 D6 5E 1D 80 01 91 B6 06 03 00 00 0F 00 00 00 A0 05 00 00 F7 01 00 00 F7 01 00 00 FD 09 00 00 02 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-06-06T16:55:36.521992,3.057,can0  070  [20]  A9 2C 4D 08 84 AE 62 03 A0 8C 00 00 37 17 00 00 29 00 00 00
2026-06-06T16:55:36.522048,3.057,can0  041  [04]  3F 01 08 00
