Timestamp,Elapsed_Time_s,CAN_Message
2026-03-15T13:01:34.022818,1.064,can0  206  [24]  93 0C E0 05 A3 0C C5 EF C4 05 8B 0C 8F 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:34.024992,1.066,can0  204  [16]  28 58 0E 47 AB 47 83 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.121976,1.163,can0  204  [16]  28 58 0D 47 AB 47 90 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.122090,1.163,can0  041  [04]  A1 00 22 00
2026-03-15T13:01:34.122242,1.164,can0  204  [16]  28 58 0D 47 AB 47 90 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.122738,1.164,can0  100  [03]  4B 56 04
2026-03-15T13:01:34.123095,1.164,can0  120  [04]  00 00 00 00
2026-03-15T13:01:34.222322,1.264,can0  204  [16]  28 58 0E 47 B3 47 AF BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.222467,1.264,can0  204  [16]  28 58 0E 47 B3 47 AF BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.322661,1.364,can0  206  [24]  87 0C E4 05 8B 0C B6 EF C6 05 A7 0C 9B 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:34.322705,1.364,can0  204  [16]  28 58 0C 47 A8 47 6D BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.422567,1.464,can0  041  [04]  A5 00 1F 00
2026-03-15T13:01:34.422727,1.464,can0  204  [16]  28 58 0C 47 AD 47 97 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.425782,1.467,can0  204  [16]  28 58 0C 47 AD 47 97 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.522465,1.564,can0  204  [16]  28 58 0C 47 AD 47 97 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.522607,1.564,can0  206  [24]  97 0C E2 05 8B 0C C5 EF C8 05 A7 0C 8B 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:34.622076,1.663,can0  204  [16]  28 58 11 47 B3 47 47 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.622273,1.664,can0  204  [16]  28 58 0E 47 A4 47 71 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.622534,1.664,can0  041  [04]  A0 00 1D 00
2026-03-15T13:01:34.722331,1.764,can0  204  [16]  28 58 0D 47 B2 47 4C BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.722451,1.764,can0  204  [16]  28 58 0D 47 B2 47 4C BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.722609,1.764,can0  206  [24]  93 0C DE 05 8F 0C C5 EF C8 05 A3 0C 8B 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:34.821784,1.863,can0  204  [16]  28 58 11 47 AA 47 2D BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.922398,1.964,can0  204  [16]  28 58 11 47 AA 47 2D BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.922493,1.964,can0  041  [04]  A0 00 1B 00
2026-03-15T13:01:34.922587,1.964,can0  204  [16]  28 58 11 47 AB 47 44 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:34.922935,1.964,can0  110  [02]  90 1B
2026-03-15T13:01:35.022338,2.064,can0  204  [16]  28 58 0B 47 AC 47 26 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.022468,2.064,can0  206  [24]  A3 0C E0 05 7B 0C D5 EF C8 05 A3 0C 8B 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:35.122108,2.163,can0  204  [16]  28 58 0B 47 AC 47 26 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.122260,2.164,can0  204  [16]  28 58 11 47 AD 47 10 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.222531,2.264,can0  204  [16]  28 58 11 47 AD 47 10 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.222629,2.264,can0  041  [04]  9F 00 1A 00
2026-03-15T13:01:35.222724,2.264,can0  204  [16]  28 58 14 47 AA 47 89 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.222836,2.264,can0  206  [24]  93 0C E2 05 8F 0C C5 EF C8 05 97 0C 8F 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:35.322605,2.364,can0  204  [16]  28 58 0F 47 AE 47 BD BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.322935,2.364,can0  100  [03]  43 56 04
2026-03-15T13:01:35.323054,2.364,can0  204  [16]  28 58 0F 47 AE 47 BD BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.323296,2.365,can0  120  [04]  00 00 00 00
2026-03-15T13:01:35.421925,2.463,can0  204  [16]  28 58 0F 47 A8 47 44 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.422061,2.463,can0  041  [04]  9E 00 1B 00
2026-03-15T13:01:35.522520,2.564,can0  204  [16]  28 58 0F 47 A8 47 44 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.522639,2.564,can0  206  [24]  93 0C DE 05 8F 0C B6 EF C6 05 AB 0C 8B 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:35.522733,2.564,can0  204  [16]  28 58 13 47 AC 47 9A BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.622039,2.663,can0  204  [16]  28 58 0F 47 AD 47 A5 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.622141,2.663,can0  204  [16]  28 58 0F 47 AD 47 A5 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.722066,2.763,can0  041  [04]  98 00 1E 00
2026-03-15T13:01:35.722219,2.763,can0  206  [24]  93 0C E2 05 7B 0C C5 EF C6 05 AF 0C 93 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:35.722354,2.764,can0  204  [16]  28 58 0C 47 A5 47 9E BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.822368,2.864,can0  204  [16]  28 58 15 47 B5 47 E9 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.822464,2.864,can0  204  [16]  28 58 15 47 B5 47 E9 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.921890,2.963,can0  204  [16]  28 58 0E 47 A3 47 74 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:35.922010,2.963,can0  206  [24]  97 0C E0 05 87 0C C5 EF C6 05 A7 0C 93 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:36.022021,3.063,can0  204  [16]  28 58 0E 47 A3 47 74 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.022157,3.063,can0  041  [04]  8E 00 1E 00
2026-03-15T13:01:36.024441,3.066,can0  204  [16]  28 58 0F 47 B2 47 78 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.121714,3.163,can0  204  [16]  28 58 10 47 A5 47 7A BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.121871,3.163,can0  204  [16]  28 58 10 47 A5 47 7A BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.221628,3.263,can0  206  [24]  97 0C E2 05 83 0C C5 EF C8 05 A3 0C 8F 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:36.221781,3.263,can0  204  [16]  28 58 11 47 B3 47 87 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.221910,3.263,can0  041  [04]  86 00 23 00
2026-03-15T13:01:36.321815,3.363,can0  204  [16]  28 58 11 47 B3 47 87 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.321913,3.363,can0  204  [16]  28 58 0C 47 A7 47 2A BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.421975,3.463,can0  204  [16]  28 58 10 47 B1 47 D7 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.422139,3.463,can0  206  [24]  9B 0C E2 05 93 0C B6 EF C6 05 A7 0C 83 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:36.422272,3.464,can0  204  [16]  28 58 10 47 B1 47 D7 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.522035,3.563,can0  041  [04]  7F 00 2C 00
2026-03-15T13:01:36.522132,3.563,can0  204  [16]  28 58 10 47 B1 47 D7 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.522458,3.564,can0  100  [03]  40 56 04
2026-03-15T13:01:36.522672,3.564,can0  110  [02]  90 1B
2026-03-15T13:01:36.522851,3.564,can0  120  [04]  00 00 00 00
2026-03-15T13:01:36.622102,3.663,can0  204  [16]  28 58 11 47 A7 47 28 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.622195,3.663,can0  204  [16]  28 58 0D 47 B3 47 27 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.722217,3.763,can0  206  [24]  A7 0C E0 05 7F 0C C5 EF C6 05 9F 0C 87 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:36.722322,3.764,can0  204  [16]  28 58 0F 47 AA 47 8C BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.722412,3.764,can0  204  [16]  28 58 0F 47 AA 47 8C BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.822335,3.864,can0  041  [04]  86 00 2D 00
2026-03-15T13:01:36.825668,3.867,can0  204  [16]  28 58 12 47 AA 47 54 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.921986,3.963,can0  204  [16]  28 58 12 47 AA 47 54 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:36.922134,3.963,can0  206  [24]  8F 0C E2 05 8B 0C C5 EF C8 05 9F 0C 93 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:36.922276,3.964,can0  204  [16]  28 58 0D 47 B4 47 F8 BC 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.022544,4.064,can0  204  [16]  28 58 08 47 A5 47 B2 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.022666,4.064,can0  041  [04]  85 00 31 00
2026-03-15T13:01:37.022797,4.064,can0  204  [16]  28 58 08 47 A5 47 B2 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.121893,4.163,can0  204  [16]  28 58 13 47 B3 47 6B BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.221948,4.263,can0  206  [24]  93 0C E4 05 8B 0C C5 EF C6 05 AB 0C 8F 0C 00 00 00 00 00 00 00 00 00 00
2026-03-15T13:01:37.222096,4.263,can0  204  [16]  28 58 13 47 B3 47 6B BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.222257,4.264,can0  204  [16]  28 58 0E 47 AD 47 97 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.322107,4.363,can0  041  [04]  8B 00 2C 00
2026-03-15T13:01:37.322209,4.363,can0  204  [16]  28 58 0A 47 AF 47 A4 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.322303,4.364,can0  204  [16]  28 58 0A 47 AF 47 A4 BD 28 23 30 75 30 75 00 00
2026-03-15T13:01:37.422156,4.463,can0  206  [24]  9F 0C E0 05 8B 0C D5 EF C4 05 9F 0C 83 0C 00 00 00 00 00 00 00 00 00 00
